forecast,observed
2.880658846,0.802
1.032361306,1.6121
0.000546927,0.3287
0.060489281,0.0845
0,0
0.0040253,0
0.832032386,0.3025
2.050356456,2.3859
0.010863037,0
1.212019139,0.8799
1.613929809,0.1843
0.663410531,0
0.006403867,0
1.425523164,1.1025
0.059493341,0.0257
0.000118832,0
0.058659327,0.2402
0.999953545,0.0205
0.197385194,1.0232
0.301484429,0
0.282512044,0
0.853623737,0.4607
1.753484688,5.068
2.683480762,5.2011
4.002040287,12.7253
13.24239628,20.7003
7.941435252,12.8742
0.283872248,0
3.914166269,11.0482
0.285062283,0
0.088025487,0
1.081535856,0
6.864980288,10.9082
7.714594778,16.6463
0.261271825,0.1706
0.162533758,1.7009
0.021784356,0
0.000203041,0
0.000152659,0
8.56E-05,0
0,0
0.035220958,0
0.033899256,0
0,0
2.62E-05,0
0,0
5.08E-06,0
2.00877688,0
0.003844773,0
2.198390579,3.6361
0.418605439,0
1.589183253,0
4.629664377,0.318
0.086104079,0.1451
0.423585418,0.1191
0.031992773,0
0.001179346,0
0.137558028,0.0534
0.304316064,0.0462
0.027653316,0
0.715105403,0.8057
0.546765932,0.3248
1.694987121,0.1828
0.815534877,0
0.133106801,0.7346
0.028080353,0.5412
0.337958072,0
0.559299063,0.5986
0.133763948,0
0.522800361,2.512
2.438563359,0.8986
5.462741077,11.8552
15.95202277,11.9121
12.5706173,7.6095
12.5006787,9.765
14.30863164,29.2276
6.812261522,4.0645
16.46940314,11.1984
9.378990878,6.3052
4.841887831,6.3191
4.954778197,1.3489
5.390894209,2.4883
0.000906349,0
0,0
0.000837767,0
0.021591024,0
0,0
0.000151108,0
0.000181092,0
0.000126434,0
0,0
0,0
0.002543217,0
2.88E-06,0
0.005148628,0
0.736878676,0
1.911510583,3.0573
4.227818691,4.9155
0.000725109,0
0.209557809,0
0.02650659,0
2.872021316,0.9649
1.113552867,0.5837
1.31524458,2.0235
1.70850369,0
0.065463825,0.6816
0.299507908,0.5083
1.634055682,1.3436
7.50E-05,0
0.531756872,0
0.513825454,0
0.001910666,0
0.001517684,0
0.309041667,0
0.010440269,0
0.000787104,0
2.11E-05,0
0.045731886,0
0.365960756,5.025
0.102368529,0
0.366571685,0
8.386287077,2.1763
14.73565351,9.197
13.06811507,1.7365
9.544684129,24.5304
8.578446196,7.3584
9.502888924,5.9023
6.91356812,28.7758
8.894338722,25.573
0.271603391,0.0246
0.043474507,0.1081
0.019978666,0
0.001915313,0
0.076718277,0
0.000359424,0.0873
0.006256592,0
0,0
5.24E-05,0
0,0
0.055968206,0.315
0.010177657,0
0.119521054,0
1.969834623,0.0205
1.26042134,0
0.000861332,0
3.212125279,0.8152
0.000153269,0.0898
0,0
1.867225785,0
4.496947307,1.8328
0.400296218,0
0.986126004,2.1265
1.553053768,0
0.126172978,0
0.300177987,0.2348
0.007851612,0.0235
0.004481178,0
0.006343499,0
0.391095109,0.0822
0.257187484,0
3.02E-07,0.0411
1.015214743,0.3971
1.500017941,0.8008
0.218130035,0.0939
0.851392873,0.1112
5.663482653,2.4051
4.073688308,18.1648
0.871772005,3.3956
0.741423883,3.5478
0.930230325,4.7138
4.112619497,4.0662
7.759676171,5.8485
6.704661549,8.5375
14.9156957,6.5295
21.97077681,26.4391
1.076967355,0.0235
5.680363142,12.0471
2.628023755,12.1662
0.00552579,0.0787
0.000523594,0
2.496822981,1.803
0.004839142,0
3.235381656,0
4.64E-05,0
0,0
0.009695837,0
0,0
0.031720455,0
0.07878184,0
0,0
0.020902424,0
1.52E-05,0
0.001059376,0
0.683642757,0
2.969276521,0.6973
0.406597579,0
0.620951526,0.2124
0.817186961,0
0,0
0.436308584,0
0.017061733,0
1.317777208,0.1432
0.13620393,0.9227
1.024037072,0.6196
4.132720783,4.8245
0.161389037,0
0.000124828,0
0.60572171,0.089
0.597278548,1.6638
0.000955869,0
0.702150461,0
2.490930825,6.0934
2.42909194,1.8129
0.596377083,3.302
0.678651528,7.1574
0.994399077,3.3959
0.287355535,0
1.552871126,5.3441
14.87404601,4.4414
14.07255557,3.5049
26.79448013,10.8878
1.79457219,1.53
5.482927695,0.895
11.18000767,13.3612
0.370712162,0.696
2.886544651,3.3594
0.018057015,0
0.62351714,0.7711
6.964764144,1.4382
1.888498689,0
1.045765062,3.3882
4.676900221,1.9523
0.000922709,0
0.369086785,0.0353
0.161838265,0.0667
2.740550269,5.0166
0.338059261,2.6547
0.081627391,4.5456
0.008874881,0
0.272723924,0.9083
0.064888036,0
0.024229895,0.0514
0,0
1.090221637,0
2.71813268,1.5995
1.128099936,0.1762
1.095168513,0.2153
1.042828446,2.9022
2.386878537,3.8288
3.428513037,0.1027
0.425562422,0
0.477315303,0.0411
0.372213494,0.348
0.034188062,0
0.135168545,0
2.013754257,0
0.001127844,0.8066
0.000227641,0
0.019870147,0
0,0
0.901342859,0.2796
3.015804783,6.8506
0.08726996,2.106
1.201708081,18.9565
16.54719898,13.9832
20.70202414,9.5048
1.999132364,3.6405
1.069838715,0.2979
2.903208732,1.5751
13.77800302,17.6262
9.90789857,6.901
0.985770925,3.7552
0.076285339,0.0534
5.319868709,5.7554
8.691039806,16.1527
0.657111214,0.3025
0.897429668,2.0713
0.040570397,0.4972
7.538836707,4.4956
0,0
1.982831701,2.6521
0,0
3.05E-05,0
0,0
8.47E-08,0
0,0
0.007670412,0
0.002271939,0
3.934144912,4.9597
0.019892495,0
0.530470281,0
2.179718482,2.6303
0.265223289,0.2478
1.081669201,0.0719
0.035136453,0
9.00E-05,0
0.008353627,0.0154
0.009316804,0
0.009082865,0
8.49E-06,0
0.020167105,0
0,0
0.001562188,0
0.068315775,0
0.008960311,0
1.196928019,1.4368
0.238331144,0.0695
0.208455293,0.061
3.309977344,0.6588
0.436868322,0.9325
2.385090171,2.5034
0.30504766,3.3947
0.930951255,2.3072
0.116283524,0.6762
